run,cond,i,layer,vector,at_prompt_end,mean_reasoning,mean_first200,mean_last200,n_reasoning_tokens
qwen3.5-27b_20260823_223518,below_good,52,32,value_axis,-0.5086302757263184,-4.1505866050720215,-3.7954721450805664,-4.533713340759277,10661
qwen3.5-27b_20260823_223518,below_good,52,32,random_control,-0.11553022265434265,0.06222745031118393,0.1495797485113144,0.1006988137960434,10661
qwen3.5-27b_20260823_223518,below_good,52,24,value_axis,-6.589860916137695,-9.438621520996094,-10.281227111816406,-9.605809211730957,10661
qwen3.5-27b_20260823_223518,below_good,52,24,random_control,0.45547306537628174,0.4216221272945404,0.45478492975234985,0.4374926686286926,10661
qwen3.5-27b_20260823_223518,below_good,52,40,value_axis,16.53980827331543,13.443954467773438,13.280101776123047,13.519094467163086,10661
qwen3.5-27b_20260823_223518,below_good,52,40,random_control,-1.4791929721832275,-1.313433289527893,-1.2682853937149048,-1.4106991291046143,10661
qwen3.5-27b_20260823_223518,below_good,53,32,value_axis,-0.5086302757263184,-4.1612324714660645,-3.990875005722046,-2.6488022804260254,10480
qwen3.5-27b_20260823_223518,below_good,53,32,random_control,-0.11553022265434265,0.08266931027173996,0.12575632333755493,0.07783913612365723,10480
qwen3.5-27b_20260823_223518,below_good,53,24,value_axis,-6.589860916137695,-9.385769844055176,-10.526598930358887,-8.08376693725586,10480
qwen3.5-27b_20260823_223518,below_good,53,24,random_control,0.45547306537628174,0.4032194912433624,0.4150637090206146,0.49688056111335754,10480
qwen3.5-27b_20260823_223518,below_good,53,40,value_axis,16.53980827331543,13.308390617370605,13.295392990112305,15.5160493850708,10480
qwen3.5-27b_20260823_223518,below_good,53,40,random_control,-1.4791929721832275,-1.3271708488464355,-1.3775813579559326,-1.3674709796905518,10480
qwen3.5-27b_20260823_223518,below_good,54,32,value_axis,-0.5086278319358826,-4.27116060256958,-4.768571853637695,-3.143737554550171,8123
qwen3.5-27b_20260823_223518,below_good,54,32,random_control,-0.11552993953227997,0.13353818655014038,0.14871884882450104,0.1187165156006813,8123
qwen3.5-27b_20260823_223518,below_good,54,24,value_axis,-6.58986234664917,-9.744002342224121,-10.746247291564941,-9.427356719970703,8123
qwen3.5-27b_20260823_223518,below_good,54,24,random_control,0.4554733633995056,0.40786945819854736,0.3643633723258972,0.3704894185066223,8123
qwen3.5-27b_20260823_223518,below_good,54,40,value_axis,16.539804458618164,13.372329711914062,12.085918426513672,15.848743438720703,8123
qwen3.5-27b_20260823_223518,below_good,54,40,random_control,-1.4791936874389648,-1.4291473627090454,-1.2744135856628418,-1.5414413213729858,8123
qwen3.5-27b_20260823_223518,below_good,55,32,value_axis,-0.5086302757263184,-4.157098770141602,-3.954777240753174,-2.8107705116271973,9896
qwen3.5-27b_20260823_223518,below_good,55,32,random_control,-0.11553022265434265,0.06022575497627258,0.24373646080493927,-0.006941859610378742,9896
qwen3.5-27b_20260823_223518,below_good,55,24,value_axis,-6.589860916137695,-9.514261245727539,-10.325796127319336,-8.473292350769043,9896
qwen3.5-27b_20260823_223518,below_good,55,24,random_control,0.45547306537628174,0.424927681684494,0.3421154320240021,0.479871928691864,9896
qwen3.5-27b_20260823_223518,below_good,55,40,value_axis,16.53980827331543,13.408820152282715,12.723812103271484,15.878286361694336,9896
qwen3.5-27b_20260823_223518,below_good,55,40,random_control,-1.4791929721832275,-1.37057626247406,-1.391361951828003,-1.5042632818222046,9896
qwen3.5-27b_20260823_223518,below_good,56,32,value_axis,-0.5086278319358826,-4.3010334968566895,-3.9423398971557617,-3.421734094619751,7631
qwen3.5-27b_20260823_223518,below_good,56,32,random_control,-0.11552993953227997,0.09812574833631516,0.07434644550085068,0.1949249655008316,7631
qwen3.5-27b_20260823_223518,below_good,56,24,value_axis,-6.58986234664917,-9.798685073852539,-10.405261993408203,-9.040301322937012,7631
qwen3.5-27b_20260823_223518,below_good,56,24,random_control,0.4554733633995056,0.45341166853904724,0.4159967005252838,0.44018667936325073,7631
qwen3.5-27b_20260823_223518,below_good,56,40,value_axis,16.539804458618164,13.414692878723145,13.356006622314453,14.403347969055176,7631
qwen3.5-27b_20260823_223518,below_good,56,40,random_control,-1.4791936874389648,-1.3723258972167969,-1.3780169486999512,-1.3789368867874146,7631
qwen3.5-27b_20260823_223518,below_good,57,32,value_axis,-0.5086302757263184,-3.993654251098633,-3.7976162433624268,-2.8399341106414795,10221
qwen3.5-27b_20260823_223518,below_good,57,32,random_control,-0.11553022265434265,0.0690702497959137,0.12132749706506729,0.005620589479804039,10221
qwen3.5-27b_20260823_223518,below_good,57,24,value_axis,-6.589860916137695,-9.250923156738281,-10.095006942749023,-8.561558723449707,10221
qwen3.5-27b_20260823_223518,below_good,57,24,random_control,0.45547306537628174,0.4110913574695587,0.4318338632583618,0.4261620342731476,10221
qwen3.5-27b_20260823_223518,below_good,57,40,value_axis,16.53980827331543,13.350179672241211,13.1327543258667,14.94668197631836,10221
qwen3.5-27b_20260823_223518,below_good,57,40,random_control,-1.4791929721832275,-1.2941709756851196,-1.2847955226898193,-1.3722386360168457,10221
qwen3.5-27b_20260823_223518,below_good,58,32,value_axis,-0.5086278319358826,-3.7079219818115234,-3.9420459270477295,-2.850963830947876,7877
qwen3.5-27b_20260823_223518,below_good,58,32,random_control,-0.11552993953227997,0.11235371977090836,0.1420549899339676,0.18122728168964386,7877
qwen3.5-27b_20260823_223518,below_good,58,24,value_axis,-6.58986234664917,-9.305963516235352,-10.352544784545898,-8.037829399108887,7877
qwen3.5-27b_20260823_223518,below_good,58,24,random_control,0.4554733633995056,0.42927250266075134,0.3518466055393219,0.3732873797416687,7877
qwen3.5-27b_20260823_223518,below_good,58,40,value_axis,16.539804458618164,14.439398765563965,13.113090515136719,15.318004608154297,7877
qwen3.5-27b_20260823_223518,below_good,58,40,random_control,-1.4791936874389648,-1.4673691987991333,-1.4405838251113892,-1.5057623386383057,7877
